"Time,Accel_x,Accel_y,Accel_z,Orientation_x,Orientation_y,Orientation_z,Orientation_w,Gyro_x,Gyro_y,Gyro_z"
"17794,0.00,0.01,1.02,0.0062,-0.0010,-0.0270,0.9996,-0.85,0.00,-1.10"
"17844,0.00,0.01,1.02,0.0057,-0.0016,-0.0270,0.9996,-0.91,0.12,-1.22"
"17894,0.00,0.01,1.02,0.0058,-0.0013,-0.0270,0.9996,-0.85,0.24,-1.16"
"17944,0.00,0.01,1.02,0.0060,-0.0023,-0.0270,0.9996,-0.98,0.12,-1.16"
"17994,0.00,0.01,1.02,0.0058,-0.0011,-0.0270,0.9996,-0.85,0.06,-1.10"
"18044,0.00,0.02,1.03,0.0069,-0.0017,-0.0270,0.9996,-1.04,0.12,-1.10"
"18094,0.00,0.01,1.02,0.0065,-0.0017,-0.0270,0.9996,-0.91,0.12,-1.10"
"18144,0.00,0.01,1.02,0.0060,-0.0018,-0.0270,0.9996,-0.91,0.30,-1.16"
"18194,0.00,0.01,1.03,0.0067,-0.0016,-0.0270,0.9996,-0.98,0.00,-1.34"
"18244,0.00,0.01,1.02,0.0062,-0.0021,-0.0270,0.9996,-0.55,0.12,-1.22"
"18294,0.00,0.01,1.02,0.0068,-0.0018,-0.0270,0.9996,-0.73,0.12,-1.34"
"18344,0.00,0.01,1.02,0.0066,-0.0015,-0.0270,0.9996,-0.98,0.06,-1.10"
"18394,0.00,0.01,1.02,0.0067,-0.0017,-0.0270,0.9996,-1.10,0.06,-1.34"
"18444,0.00,0.01,1.02,0.0063,-0.0009,-0.0270,0.9996,-0.85,0.06,-1.16"
"18494,0.01,0.01,1.02,0.0066,-0.0020,-0.0270,0.9996,-0.98,0.12,-1.10"
"18544,0.00,0.01,1.02,0.0058,-0.0012,-0.0270,0.9996,-0.73,0.12,-1.16"
"18594,0.00,0.01,1.02,0.0063,-0.0016,-0.0270,0.9996,-0.79,0.06,-1.16"
"18644,0.00,0.01,1.02,0.0064,-0.0017,-0.0270,0.9996,-0.91,-0.06,-1.28"
"18694,0.00,0.01,1.02,0.0067,-0.0013,-0.0270,0.9996,-0.98,0.12,-1.10"
"18744,0.00,0.01,1.02,0.0069,-0.0021,-0.0270,0.9996,-0.91,0.00,-1.28"
"18794,0.00,0.01,1.02,0.0068,-0.0019,-0.0270,0.9996,-0.91,0.18,-1.22"
